,Year,Month,Day,Country,Province,Region,city,latitude,longitude,AttackType,Killed,Wounded,Target,Group,Target_type,Weapon_type,Casualties,date
786,2009,8,9,Pakistan,Federally Administered Tribal Areas,South Asia,Mohmand district,34.565494,71.477429,Assassination,17,0,A tribal leader,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Firearms,17,2009-08-09
787,2009,8,10,Pakistan,North-West Frontier Province,South Asia,Mattani,33.796459,71.558487,Bombing/Explosion,1,4,The target of the attack was a government vehicle.,Undefined,Government (General),Explosives,5,2009-08-10
788,2009,8,11,Pakistan,Balochistan,South Asia,Rakhni,30.043295,69.923814,Bombing/Explosion,1,6,The target of the attack were two shops in Rakhni District.,Undefined,Business,Explosives,7,2009-08-11
789,2009,8,11,Pakistan,Federally Administered Tribal Areas,South Asia,Safi,34.574856,71.276081,Hostage Taking (Kidnapping),1,0,A tribal elder and two civilians,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Firearms,1,2009-08-11
790,2009,8,11,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,3,9,The target of the attack was civilians.,Undefined,Private Citizens & Property,Explosives,12,2009-08-11
791,2009,8,12,Pakistan,Federally Administered Tribal Areas,South Asia,South Waziristan district,32.320237,69.859741,Armed Assault,70,0,A base of Turkistan Baitani in Sararogha area.,Tehrik-i-Taliban Pakistan (TTP),Terrorists/Non-State Militia,Incendiary,70,2009-08-12
792,2009,8,13,Pakistan,Balochistan,South Asia,Barkhan,29.897578,69.524224,Bombing/Explosion,0,1,The target of the attack was the town.,Undefined,Private Citizens & Property,Explosives,1,2009-08-13
793,2009,8,13,Pakistan,Federally Administered Tribal Areas,South Asia,Wana,32.306099,69.579956,Assassination,5,3,The target of the attack was a tribal elder.,Undefined,Private Citizens & Property,Explosives,8,2009-08-13
794,2009,8,14,Pakistan,Balochistan,South Asia,Awaran,26.457338,65.23111,Bombing/Explosion,0,0,A government office building,Undefined,Government (General),Explosives,0,2009-08-14
795,2009,8,14,Pakistan,Balochistan,South Asia,Hub,25.044537,66.874672,Bombing/Explosion,1,15,The target of the attack was a hotel.,Undefined,Business,Explosives,16,2009-08-14
796,2009,8,17,Pakistan,North-West Frontier Province,South Asia,Shabqadar,34.217285,71.561043,Bombing/Explosion,7,8,A passenger van,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Explosives,15,2009-08-17
797,2009,8,17,Pakistan,North-West Frontier Province,South Asia,Shabqadar,34.217285,71.561043,Bombing/Explosion,12,12,Civilians,Tehrik-i-Taliban Pakistan (TTP),Business,Explosives,24,2009-08-17
798,2009,8,18,Pakistan,Federally Administered Tribal Areas,South Asia,Orakzai district,33.697271,71.144852,Undefined,4,0,Four civilians were the target of the attack.,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Undefined,4,2009-08-18
799,2009,8,22,Pakistan,Balochistan,South Asia,Wadh,27.342552,66.36792,Bombing/Explosion,0,2,Civilians were the target of the attack.,Lashkar-e-Balochistan,Private Citizens & Property,Explosives,2,2009-08-22
800,2009,8,23,Pakistan,Federally Administered Tribal Areas,South Asia,South Waziristan district,32.320237,69.859741,Armed Assault,5,2,The vehicle of a tribal elder,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Firearms,7,2009-08-23
801,2009,8,23,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,4,15,"The target of the attack was the brother of Mubeen Afridi, spokesman for Taliban-linked extremist group Ansar-ul-Islam.",Lashkar-e-Islam (Pakistan),Terrorists/Non-State Militia,Explosives,19,2009-08-23
802,2009,8,24,Pakistan,North-West Frontier Province,South Asia,Jamrud,34.002579,71.382477,Armed Assault,1,1,Assailants fired upon an Afghan journalist.,Undefined,Journalists & Media,Firearms,2,2009-08-24
803,2009,8,28,Pakistan,Federally Administered Tribal Areas,South Asia,Salarzai,34.866207,71.526382,Bombing/Explosion,0,6,"A tribal chief, Malik Munasib Khan, was targeted in the attack.",Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Explosives,6,2009-08-28
804,2009,9,1,Pakistan,Balochistan,South Asia,Gwadar,25.1458,62.326557,Bombing/Explosion,0,5,The target was a shop.,Undefined,Business,Explosives,5,2009-09-01
805,2009,9,9,Pakistan,Balochistan,South Asia,Kalat,29.047852,66.593323,Bombing/Explosion,2,0,The target of the attack was civilians.,Undefined,Police,Explosives,2,2009-09-09
806,2009,9,9,Pakistan,Balochistan,South Asia,Loti,28.959845,69.390121,Armed Assault,3,2,A private residence,Undefined,Private Citizens & Property,Firearms,5,2009-09-09
807,2009,9,9,Pakistan,Federally Administered Tribal Areas,South Asia,Orakzai district,33.697271,71.144852,Armed Assault,4,6,The targets was civilians.,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Firearms,10,2009-09-09
808,2009,9,15,Pakistan,North-West Frontier Province,South Asia,Hayatabad,33.976307,71.437157,Bombing/Explosion,0,1,Civilians,Lashkar-e-Islam (Pakistan),Private Citizens & Property,Explosives,1,2009-09-15
809,2009,9,16,Pakistan,North-West Frontier Province,South Asia,Hayatabad,33.976307,71.437157,Bombing/Explosion,0,3,The target of the attack was civilians.,Undefined,Private Citizens & Property,Explosives,3,2009-09-16
810,2009,9,17,Pakistan,North-West Frontier Province,South Asia,Kohat,33.590603,71.44062,Bombing/Explosion,0,9,Civilians,Undefined,Private Citizens & Property,Explosives,9,2009-09-17
811,2009,9,18,Pakistan,North-West Frontier Province,South Asia,Hangu,33.528893,71.056122,Bombing/Explosion,1,3,Hangu District Nazim Haji Khan Afzal,Undefined,Government (General),Explosives,4,2009-09-18
812,2009,9,18,Pakistan,North-West Frontier Province,South Asia,Kohat,33.590603,71.44062,Bombing/Explosion,25,36,The target of the bombing was civilians.,Lashkar-e-Jhangvi,Private Citizens & Property,Explosives,61,2009-09-18
813,2009,9,24,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Armed Assault,9,7,The target of the attack was civilians.,Undefined,Private Citizens & Property,Firearms,16,2009-09-24
814,2009,9,26,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,7,40,A bank,Tehrik-i-Taliban Pakistan (TTP),Business,Explosives,47,2009-09-26
815,2009,9,26,Pakistan,Gilgit-Baltistan,South Asia,Gilgit,35.918091,74.289803,Bombing/Explosion,1,3,A bookshop,Undefined,Business,Explosives,4,2009-09-26
816,2009,9,29,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Bombing/Explosion,5,1,The target of the attack was the vehicle of an anti-Taliban cleric.,Tehrik-i-Taliban Pakistan (TTP),Religious Figures/Institutions,Explosives,6,2009-09-29
817,2009,10,5,Pakistan,Islamabad Capital Territory,South Asia,Islamabad,33.671638,73.056068,Bombing/Explosion,5,8,Civilians,Tehrik-i-Taliban Pakistan (TTP),Government (Diplomatic),Explosives,13,2009-10-05
818,2009,10,10,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,10,5,Soldiers were the target of the attack.,Tehrik-i-Taliban Pakistan (TTP),Military,Explosives,15,2009-10-10
819,2009,10,15,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,10,50,The Manawan Police Training Centre,Tehrik-i-Taliban Pakistan (TTP),Police,Explosives,60,2009-10-15
820,2009,10,23,Pakistan,North-West Frontier Province,South Asia,Hayatabad,33.976307,71.437157,Bombing/Explosion,0,15,A restaurant,Undefined,Business,Explosives,15,2009-10-23
821,2009,10,28,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,120,200,The Mina Bazaar market,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Explosives,320,2009-10-28
822,2009,11,2,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,35,63,The National Bank of Pakistan,Undefined,Business,Explosives,98,2009-11-02
823,2009,11,8,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Assassination,13,44,Mayor Nazim Abdul Malik,Undefined,Government (General),Explosives,57,2009-11-08
824,2009,11,10,Pakistan,North-West Frontier Province,South Asia,Charsadda,34.14658,71.743538,Bombing/Explosion,34,100,"The main bazaar, Farooq Azam Chowk",Undefined,Private Citizens & Property,Explosives,134,2009-11-10
825,2009,11,27,Pakistan,Federally Administered Tribal Areas,South Asia,Mohmand district,34.565494,71.477429,Bombing/Explosion,1,4,A mosque,Undefined,Religious Figures/Institutions,Explosives,5,2009-11-27
826,2009,12,1,Pakistan,North-West Frontier Province,South Asia,Swabi district,34.146668,72.386306,Armed Assault,1,0,The senior member of a local peace committee,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Firearms,1,2009-12-01
827,2009,12,1,Pakistan,North-West Frontier Province,South Asia,Mingora,34.774479,72.364052,Assassination,3,11,"A government official, Shamsher Ali, was targeted in the incident.",Undefined,Government (General),Explosives,14,2009-12-01
828,2009,12,4,Pakistan,Federally Administered Tribal Areas,South Asia,Mohmand district,34.565494,71.477429,Bombing/Explosion,3,13,A minibus,Undefined,Transportation,Explosives,16,2009-12-04
829,2009,12,4,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Bombing/Explosion,32,0,The target of the attack was a mosque.,Tehrik-i-Taliban Pakistan (TTP),Religious Figures/Institutions,Explosives,32,2009-12-04
830,2009,12,7,Pakistan,North-West Frontier Province,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,3,20,The Sessions Court in Peshawar,Undefined,Government (General),Explosives,23,2009-12-07
831,2009,12,7,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,51,150,The Moon Market was targeted in the attack.,Undefined,Private Citizens & Property,Explosives,201,2009-12-07
832,2009,12,8,Pakistan,Punjab,South Asia,Multan,30.197843,71.467629,Bombing/Explosion,9,40,Inter-Services Intelligence directorate offices,Undefined,Government (General),Explosives,49,2009-12-08
833,2009,12,15,Pakistan,Punjab,South Asia,Dera Ghazi Khan,30.034319,70.639676,Bombing/Explosion,28,50,The market,Undefined,Private Citizens & Property,Explosives,78,2009-12-15
834,2009,12,16,Pakistan,North-West Frontier Province,South Asia,Jamrud,34.002579,71.382477,Bombing/Explosion,4,27,The participants of the musical concert were the targets of the attack.,Undefined,Private Citizens & Property,Explosives,31,2009-12-16
835,2009,12,18,Pakistan,North-West Frontier Province,South Asia,Timergara,34.830162,71.842781,Bombing/Explosion,12,29,A mosque frequented by police officers,Undefined,Religious Figures/Institutions,Explosives,41,2009-12-18
836,2009,12,27,Pakistan,Azad Kashmir,South Asia,Muzaffarabad,34.359687,73.471054,Bombing/Explosion,11,81,The mosque,Undefined,Religious Figures/Institutions,Explosives,92,2009-12-27
837,2010,1,1,Pakistan,Federally Administered Tribal Areas,South Asia,Bajaur district,34.856902,71.429936,Bombing/Explosion,6,0,"The tribal elder, Gulshali Khan",Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Explosives,6,2010-01-01
838,2010,1,8,Pakistan,Federally Administered Tribal Areas,South Asia,Khyber district,33.908578,71.070055,Bombing/Explosion,6,11,The Ansar-ul-Islam headquarters,Lashkar-e-Islam (Pakistan),Terrorists/Non-State Militia,Explosives,17,2010-01-08
839,2010,1,18,Pakistan,Federally Administered Tribal Areas,South Asia,Kurram district,33.695975,70.336069,Bombing/Explosion,3,0,The basic health unit,Undefined,Business,Explosives,3,2010-01-18
840,2010,1,19,Pakistan,Balochistan,South Asia,Jaffarabad district,28.340071,68.188997,Bombing/Explosion,0,3,Civilians,Undefined,Private Citizens & Property,Explosives,3,2010-01-19
841,2010,1,19,Pakistan,North-West Frontier Province,South Asia,Buner district,34.396497,72.615832,Hostage Taking (Kidnapping),2,0,Two activists of the Awami National Party,Tehrik-i-Taliban Pakistan (TTP),Government (General),Firearms,2,2010-01-19
842,2010,1,21,Pakistan,Federally Administered Tribal Areas,South Asia,Bajaur district,34.856902,71.429936,Bombing/Explosion,1,22,Anti-Taliban elders,Undefined,Private Citizens & Property,Explosives,23,2010-01-21
843,2010,1,23,Pakistan,Federally Administered Tribal Areas,South Asia,North Waziristan district,32.974638,70.14558,Armed Assault,7,0,Civilians,Taliban,Private Citizens & Property,Firearms,7,2010-01-23
844,2010,1,26,Pakistan,Balochistan,South Asia,Khuzdar district,27.81872,66.659656,Armed Assault,1,0,A former Union Council was targeted in the attack.,Undefined,Government (General),Firearms,1,2010-01-26
845,2010,1,26,Pakistan,Balochistan,South Asia,Dera Allah Yar,28.380661,68.343147,Assassination,0,6,A district police chief was targeted in the attack.,Baloch Republican Army (BRA),Police,Explosives,6,2010-01-26
846,2010,1,28,Pakistan,Balochistan,South Asia,Hub,25.044537,66.874672,Armed Assault,1,0,The shopkeeper was targeted in the attack.,Undefined,Business,Firearms,1,2010-01-28
847,2010,1,28,Pakistan,Balochistan,South Asia,Nushki district,29.551957,66.019326,Bombing/Explosion,2,0,A shop owner was targeted in the attack.,Undefined,Business,Explosives,2,2010-01-28
848,2010,1,28,Pakistan,Balochistan,South Asia,Jaffarabad district,28.340071,68.188997,Bombing/Explosion,1,8,Civilians,Undefined,Business,Explosives,9,2010-01-28
849,2010,2,6,Pakistan,Federally Administered Tribal Areas,South Asia,Safi,34.574856,71.276081,Hostage Taking (Kidnapping),0,0,Two government employees,Tehrik-i-Taliban Pakistan (TTP),Government (Diplomatic),Undefined,0,2010-02-06
850,2010,2,10,Pakistan,Federally Administered Tribal Areas,South Asia,Khyber district,33.908578,71.070055,Armed Assault,1,2,An Army rescue party,Tehrik-i-Taliban Pakistan (TTP),Military,Firearms,3,2010-02-10
851,2010,2,11,Pakistan,Balochistan,South Asia,Khuzdar district,27.81872,66.659656,Bombing/Explosion,0,0,Assailants targeted a police station.,Undefined,Police,Explosives,0,2010-02-11
852,2010,2,11,Pakistan,North-West Frontier Province,South Asia,Bannu,32.987347,70.602524,Bombing/Explosion,17,20,A police facility was targeted in the attack.,Tehrik-i-Taliban Pakistan (TTP),Police,Explosives,37,2010-02-11
853,2010,2,13,Pakistan,Balochistan,South Asia,Kalat district,29.037681,66.581497,Armed Assault,1,1,Two school students,Undefined,Private Citizens & Property,Firearms,2,2010-02-13
854,2010,2,17,Pakistan,Sindh,South Asia,Khairpur,27.528896,68.759819,Armed Assault,1,0,A TV journalist was targeted in the attack.,Undefined,Journalists & Media,Firearms,1,2010-02-17
855,2010,2,18,Pakistan,Federally Administered Tribal Areas,South Asia,Khyber district,33.908578,71.070055,Bombing/Explosion,31,100,Civilians,Ansarul Islam (Pakistan),Private Citizens & Property,Explosives,131,2010-02-18
856,2010,2,18,Pakistan,Federally Administered Tribal Areas,South Asia,Khyber district,33.908578,71.070055,Bombing/Explosion,29,50,A mosque was targeted in the attack.,Undefined,Religious Figures/Institutions,Explosives,79,2010-02-18
857,2010,2,18,Pakistan,Federally Administered Tribal Areas,South Asia,Orakzai district,33.697271,71.144852,Bombing/Explosion,11,50,Civilians,Undefined,Private Citizens & Property,Explosives,61,2010-02-18
858,2010,2,24,Pakistan,Federally Administered Tribal Areas,South Asia,Mir Ali,32.975433,70.273735,Armed Assault,3,0,An alleged U.S. spy was targeted in the attack.,Taliban,Private Citizens & Property,Melee,3,2010-02-24
859,2010,2,25,Pakistan,North-West Frontier Province,South Asia,Bara,33.915234,71.458679,Bombing/Explosion,0,2,A residence was targeted in the attack.,Undefined,Private Citizens & Property,Explosives,2,2010-02-25
860,2010,3,2,Pakistan,Balochistan,South Asia,Khuzdar,27.809921,66.620956,Bombing/Explosion,2,9,Civilians,Undefined,Educational Institution,Explosives,11,2010-03-02
861,2010,3,5,Pakistan,North-West Frontier Province,South Asia,Hangu,33.528893,71.056122,Bombing/Explosion,13,30,Shia Muslims,Undefined,Private Citizens & Property,Explosives,43,2010-03-05
862,2010,3,6,Pakistan,Balochistan,South Asia,Khuzdar,27.809921,66.620956,Armed Assault,2,2,A leader of the Pakistan Muslim Leave- Nawaz was targeted in the attack.,Undefined,Government (General),Firearms,4,2010-03-06
863,2010,3,8,Pakistan,Federally Administered Tribal Areas,South Asia,Safi,34.574856,71.276081,Bombing/Explosion,1,2,Civilians,Undefined,Private Citizens & Property,Explosives,3,2010-03-08
864,2010,3,8,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,14,113,A Special Intelligence Agecny station was targeted in the attack.,Tehrik-i-Taliban Pakistan (TTP),Police,Explosives,127,2010-03-08
865,2010,3,12,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,47,100,An army patrol was targeted in the attack.,Tehrik-i-Taliban Pakistan (TTP),Military,Explosives,147,2010-03-12
866,2010,3,18,Pakistan,Balochistan,South Asia,Khuzdar,27.809921,66.620956,Bombing/Explosion,0,8,A shop was targeted in the attack.,Undefined,Business,Explosives,8,2010-03-18
867,2010,3,24,Pakistan,North-West Frontier Province,South Asia,Thal,33.363258,70.547846,Hostage Taking (Kidnapping),6,0,Shia truck drivers,Undefined,Private Citizens & Property,Firearms,6,2010-03-24
868,2010,3,26,Pakistan,Balochistan,South Asia,Kohlu,29.673863,68.715498,Bombing/Explosion,0,5,A tea stall was targeted in the attack.,Undefined,Business,Explosives,5,2010-03-26
869,2010,3,29,Pakistan,Federally Administered Tribal Areas,South Asia,Orakzai district,33.697271,71.144852,Bombing/Explosion,0,7,Civilians,Undefined,Private Citizens & Property,Explosives,7,2010-03-29
870,2010,4,5,Pakistan,Khyber Pakhtunkhwa,South Asia,Timergara,34.830162,71.842781,Bombing/Explosion,46,100,People at the Awami National Party  meeting,Undefined,Government (General),Explosives,146,2010-04-05
871,2010,4,7,Pakistan,Khyber Pakhtunkhwa,South Asia,Hangu,33.528893,71.056122,Assassination,3,0,A Lashkar tribal leader was targeted in the attack.,Tehrik-i-Taliban Pakistan (TTP),Terrorists/Non-State Militia,Firearms,3,2010-04-07
872,2010,4,13,Pakistan,Balochistan,South Asia,Panjgur,26.972136,64.114571,Bombing/Explosion,0,2,A barber shop was targeted in the attack.,Undefined,Business,Explosives,2,2010-04-13
873,2010,4,15,Pakistan,Balochistan,South Asia,Nasirabad,28.458421,68.133223,Assassination,1,6,A Bugti tribal chieftain was targeted in the attack.,Undefined,Private Citizens & Property,Firearms,7,2010-04-15
874,2010,4,16,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,9,35,Civilians,Lashkar-e-Jhangvi,Business,Explosives,44,2010-04-16
875,2010,4,17,Pakistan,Khyber Pakhtunkhwa,South Asia,Sardheri,34.168388,71.841957,Bombing/Explosion,0,0,A government-run school,Undefined,Educational Institution,Explosives,0,2010-04-17
876,2010,4,17,Pakistan,Khyber Pakhtunkhwa,South Asia,Kohat,33.590603,71.44062,Bombing/Explosion,43,64,Displaced Shia Muslims,Lashkar-e-Jhangvi,Private Citizens & Property,Explosives,107,2010-04-17
877,2010,4,19,Pakistan,Khyber Pakhtunkhwa,South Asia,Peshawar,34.006004,71.53743,Bombing/Explosion,26,30,Civilians,Undefined,Private Citizens & Property,Explosives,56,2010-04-19
878,2010,4,24,Pakistan,Balochistan,South Asia,Sibi,29.548279,67.879189,Bombing/Explosion,0,11,A bakery was targeted in the attack.,Undefined,Business,Explosives,11,2010-04-24
879,2010,4,24,Pakistan,Khyber Pakhtunkhwa,South Asia,Timergara,34.830162,71.842781,Bombing/Explosion,0,10,Police officers,Undefined,Police,Explosives,10,2010-04-24
880,2010,5,1,Pakistan,Federally Administered Tribal Areas,South Asia,Khairabad,34.715191,71.478896,Bombing/Explosion,0,0,The target was a government school.,Undefined,Educational Institution,Explosives,0,2010-05-01
881,2010,5,18,Pakistan,Khyber Pakhtunkhwa,South Asia,Dera Ismail Khan,31.834328,70.90905,Assassination,13,9,The Deputy Superintendent of police,Tehrik-i-Taliban Pakistan (TTP),Police,Explosives,22,2010-05-18
882,2010,5,19,Pakistan,Khyber Pakhtunkhwa,South Asia,Mardan,34.416681,71.92459,Bombing/Explosion,0,2,A shop belonging to an Awami National Party member,Undefined,Business,Explosives,2,2010-05-19
883,2010,5,20,Pakistan,Federally Administered Tribal Areas,South Asia,Datta Khel,32.901089,69.749405,Bombing/Explosion,2,0,Two civilians accused of spying,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Explosives,2,2010-05-20
884,2010,5,21,Pakistan,Khyber Pakhtunkhwa,South Asia,Dir,35.202293,71.873006,Bombing/Explosion,0,2,A girls' primary school was targeted in the attack.,Undefined,Educational Institution,Explosives,2,2010-05-21
885,2010,5,28,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Hostage Taking (Barricade Incident),27,31,A place of worship was targeted in the attack.,Tehrik-i-Taliban Pakistan (TTP),Religious Figures/Institutions,Explosives,58,2010-05-28
886,2010,5,31,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Armed Assault,12,0,Civilians in the Jinnah Hospital,Undefined,Business,Firearms,12,2010-05-31
887,2010,6,1,Pakistan,Balochistan,South Asia,Hub,25.044537,66.874672,Bombing/Explosion,0,6,A shop,Undefined,Business,Explosives,6,2010-06-01
888,2010,6,8,Pakistan,Balochistan,South Asia,Turbat,25.999413,63.047451,Armed Assault,1,0,A cloth vendor was targeted in the attack.,Undefined,Business,Firearms,1,2010-06-08
889,2010,6,15,Pakistan,Balochistan,South Asia,Kalat district,29.037681,66.581497,Armed Assault,7,3,A tribal elder was targeted in the attack.,Undefined,Private Citizens & Property,Firearms,10,2010-06-15
890,2010,6,23,Pakistan,Federally Administered Tribal Areas,South Asia,Darra Adam Khel,33.68745,71.516037,Armed Assault,1,0,A Jamaat-e-Islami leader and his son,Undefined,Government (General),Firearms,1,2010-06-23
891,2010,6,27,Pakistan,Punjab,South Asia,Rawalpindi,33.594013,73.069077,Armed Assault,3,2,Civilians were the targets of the attack.,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Firearms,5,2010-06-27
892,2010,6,30,Pakistan,Federally Administered Tribal Areas,South Asia,Tirah,34.745,71.606667,Bombing/Explosion,0,0,A group of tribal elders,Undefined,Private Citizens & Property,Explosives,0,2010-06-30
893,2010,7,1,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,44,175,The Data Darbar shrine was targeted in the bombing.,Undefined,Religious Figures/Institutions,Explosives,219,2010-07-01
894,2010,7,4,Pakistan,Balochistan,South Asia,Surab,28.491249,66.263474,Armed Assault,4,7,A private vehicle carrying gas plant laborers,Undefined,Business,Firearms,11,2010-07-04
895,2010,7,9,Pakistan,Federally Administered Tribal Areas,South Asia,Mohmand district,34.565494,71.477429,Bombing/Explosion,106,115,Political offices,Tehrik-i-Taliban Pakistan (TTP),Government (General),Explosives,221,2010-07-09
896,2010,7,11,Pakistan,Federally Administered Tribal Areas,South Asia,Darra Adam Khel,33.68745,71.516037,Assassination,2,0,Tribal elders,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Melee,2,2010-07-11
897,2010,7,15,Pakistan,Khyber Pakhtunkhwa,South Asia,Mingora,34.774479,72.364052,Bombing/Explosion,5,40,A bus stand,Undefined,Transportation,Explosives,45,2010-07-15
898,2010,7,16,Pakistan,Federally Administered Tribal Areas,South Asia,Khyber district,33.908578,71.070055,Assassination,10,20,The commander of Lashkar-e-Islam (LI) was targeted in the attack.,Undefined,Terrorists/Non-State Militia,Explosives,30,2010-07-16
899,2010,7,18,Pakistan,Punjab,South Asia,Sargodha,32.082884,72.671445,Bombing/Explosion,1,14,A Shia Muslim mosque was targeted in the bombing.,Undefined,Religious Figures/Institutions,Explosives,15,2010-07-18
900,2010,7,24,Pakistan,Khyber Pakhtunkhwa,South Asia,Nowshera,34.007206,71.983078,Armed Assault,1,1,"A provincial minister's son, Mian Rashid Hussain, was targeted in the attack.",Tehrik-i-Taliban Pakistan (TTP),Government (General),Firearms,2,2010-07-24
901,2010,7,25,Pakistan,Khyber Pakhtunkhwa,South Asia,Lakki Marwat,32.606209,70.908623,Bombing/Explosion,0,0,The guest house of a Member of Provincial Assembly Munawwar Khan,Undefined,Government (General),Explosives,0,2010-07-25
902,2010,8,13,Pakistan,Balochistan,South Asia,Mach,29.855375,67.339928,Armed Assault,10,5,Civilians,Undefined,Transportation,Firearms,15,2010-08-13
903,2010,8,17,Pakistan,Balochistan,South Asia,Pasni,25.26786,63.460991,Bombing/Explosion,0,10,A school van,Undefined,Transportation,Explosives,10,2010-08-17
904,2010,8,18,Pakistan,Balochistan,South Asia,Tump,26.102882,62.368946,Armed Assault,1,0,Civilians,Undefined,Private Citizens & Property,Firearms,1,2010-08-18
905,2010,8,19,Pakistan,Khyber Pakhtunkhwa,South Asia,Bannu district,32.925365,70.588379,Bombing/Explosion,0,16,A shopping area,Undefined,Private Citizens & Property,Explosives,16,2010-08-19
906,2010,8,21,Pakistan,Federally Administered Tribal Areas,South Asia,Mohmand district,34.565494,71.477429,Bombing/Explosion,6,5,Peace committee members,Undefined,Private Citizens & Property,Explosives,11,2010-08-21
907,2010,8,23,Pakistan,Federally Administered Tribal Areas,South Asia,Wana,32.306099,69.579956,Bombing/Explosion,41,30,The Mulana Noor Muhammad Mosque,Undefined,Religious Figures/Institutions,Explosives,71,2010-08-23
908,2010,8,25,Pakistan,Balochistan,South Asia,Surab,28.491249,66.263474,Assassination,1,0,The leader of the Pakistan Peoples' Party was targeted in the attack.,Undefined,Government (General),Firearms,1,2010-08-25
909,2010,8,25,Pakistan,Khyber Pakhtunkhwa,South Asia,Mansehra,34.437991,73.21744,Bombing/Explosion,1,0,A cinema was targeted in the bombing.,Undefined,Business,Explosives,1,2010-08-25
910,2010,8,26,Pakistan,Balochistan,South Asia,Awaran district,26.485426,65.448483,Facility/Infrastructure Attack,0,0,A Pakistan Telecommunication Company Limited building,Undefined,Business,Incendiary,0,2010-08-26
911,2010,8,27,Pakistan,Balochistan,South Asia,Panjgur,26.972136,64.114571,Bombing/Explosion,1,5,Civilians,Undefined,Private Citizens & Property,Explosives,6,2010-08-27
912,2010,8,28,Pakistan,Federally Administered Tribal Areas,South Asia,South Waziristan district,32.320237,69.859741,Bombing/Explosion,3,7,A shop was targeted in the attack.,Undefined,Business,Explosives,10,2010-08-28
913,2010,8,31,Pakistan,Balochistan,South Asia,Kalat district,29.037681,66.581497,Assassination,2,1,"Nawabuddin Nechari, a district Balochistan National Party leader,",Undefined,Government (General),Firearms,3,2010-08-31
914,2010,9,1,Pakistan,Punjab,South Asia,Lahore,31.50547,74.34288,Bombing/Explosion,40,200,A Shiite Muslim procession,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Explosives,240,2010-09-01
915,2010,9,2,Pakistan,Balochistan,South Asia,Turbat,25.999413,63.047451,Armed Assault,2,8,A civilian bus carrying pilgrims,Undefined,Private Citizens & Property,Firearms,10,2010-09-02
916,2010,9,3,Pakistan,Balochistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,66,150,Shiite Muslim gathered at a rally,Tehrik-i-Taliban Pakistan (TTP),Private Citizens & Property,Explosives,216,2010-09-03
917,2010,9,3,Pakistan,Khyber Pakhtunkhwa,South Asia,Mardan,34.416681,71.92459,Bombing/Explosion,2,4,"A  house of worship for Ahmedis, a religious minority group,",Tehrik-i-Taliban Pakistan (TTP),Religious Figures/Institutions,Explosives,6,2010-09-03
918,2010,9,7,Pakistan,Khyber Pakhtunkhwa,South Asia,Kohat,33.590603,71.44062,Bombing/Explosion,21,80,A police residential complex was targeted in the attack.,Undefined,Police,Explosives,101,2010-09-07
919,2010,9,8,Pakistan,Balochistan,South Asia,Hub,25.044537,66.874672,Assassination,2,7,A Baloch National Party-Mengal leader was targeted in the attack.,Undefined,Government (General),Explosives,9,2010-09-08
